Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
172,Isaiah Canaan,2015-16,24,PHI,NBA,1.4,0.9,-0.8,11.1,-2.4
173,Isaiah Thomas,2015-16,26,BOS,NBA,9.7,7.2,4.9,21.5,4.3
174,Ish Smith,2015-16,27,TOT,NBA,1.3,0,-0.3,14.9,-1.6
175,J.J. Barea,2015-16,31,DAL,NBA,2.8,2.1,1.6,15.4,0
176,J.J. Hickson,2015-16,27,TOT,NBA,0.8,0.3,-1.1,16.8,-1.1
177,J.J. O'Brien,2015-16,23,UTA,NBA,0,0,-11.5,1.3,-6.2
178,J.J. Redick,2015-16,31,LAC,NBA,6.7,5.3,3.3,17.5,2.2
179,J.R. Smith,2015-16,30,CLE,NBA,5.5,3,0.2,12.4,0.5
180,Jabari Parker,2015-16,20,MIL,NBA,3.6,2.4,-0.4,14.8,-2
181,Jae Crowder,2015-16,25,BOS,NBA,7.3,3.8,0.8,15.8,2.2
182,Jahlil Okafor,2015-16,20,PHI,NBA,1.2,0.3,-0.5,17.1,-2.3
183,JaKarr Sampson,2015-16,22,TOT,NBA,0.1,-0.5,-4.5,8.3,-5.4
184,Jamal Crawford,2015-16,35,LAC,NBA,3.3,1.8,0.1,14,-1.4
185,Jameer Nelson,2015-16,33,DEN,NBA,0.5,0.1,-2.2,9.5,-3
186,James Anderson,2015-16,26,SAC,NBA,-0.3,-0.6,-3.9,6,-4.5
187,James Ennis,2015-16,25,TOT,NBA,0.9,0.7,2.5,17.8,1.5
188,James Harden,2015-16,26,HOU,NBA,13.3,10.7,6.4,25.3,6.6
189,James Johnson,2015-16,28,TOR,NBA,1.3,0.3,-1.5,11.4,-1
190,James Jones,2015-16,35,CLE,NBA,1.2,0.7,-0.2,11.6,-0.3
191,James Michael McAdoo,2015-16,23,GSW,NBA,0.8,0.5,-1.5,15.9,-1.8
192,James Young,2015-16,20,BOS,NBA,0.1,-0.2,-5.3,3.6,-4.5
193,JaMychal Green,2015-16,25,MEM,NBA,2.6,1.2,-1.5,14.6,-2.5
194,Jared Cunningham,2015-16,24,TOT,NBA,0.1,-0.3,-5.5,5.9,-5.7
195,Jared Dudley,2015-16,30,WAS,NBA,4.6,2.6,-0.8,11.7,-0.1
196,Jared Sullinger,2015-16,23,BOS,NBA,4.8,1.3,0,16.7,0.6
197,Jarell Eddie,2015-16,24,WAS,NBA,0.1,0,-0.3,11,-1.5
198,Jarell Martin,2015-16,21,MEM,NBA,0.8,0.5,-2,14,-3.7
199,Jarnell Stokes,2015-16,22,TOT,NBA,0.1,0.1,1.9,20,2
200,Jarrett Jack,2015-16,32,BRK,NBA,0.9,0.5,0,14.5,-0.7
201,Jason Smith,2015-16,29,ORL,NBA,1.8,0.4,-2.5,14.6,-2.2
202,Jason Terry,2015-16,38,HOU,NBA,1.5,1.1,-0.7,10.2,-1.6
203,Jason Thompson,2015-16,29,TOT,NBA,1.6,0.9,-2.1,14.2,-0.8
204,JaVale McGee,2015-16,28,DAL,NBA,1.1,0.6,-0.2,19.9,-0.3
205,Jeff Ayres,2015-16,28,LAC,NBA,0.2,0.1,-5.6,8.3,-6.1
206,Jeff Green,2015-16,29,TOT,NBA,3.1,1.3,-0.8,13,-1.8
207,Jeff Teague,2015-16,27,ATL,NBA,5.9,2.8,1.5,17.9,1.3
208,Jeff Withey,2015-16,25,UTA,NBA,2.3,1.1,-1,17.7,1
209,Jerami Grant,2015-16,21,PHI,NBA,2.1,0.5,-2.1,12.6,-1.7
210,Jeremy Evans,2015-16,28,DAL,NBA,0.6,0.3,-1.5,12.6,-0.4
211,Jeremy Lamb,2015-16,23,CHO,NBA,2.7,1,0.1,15.9,0.8
212,Jeremy Lin,2015-16,27,CHO,NBA,3.5,1.3,-1,13.8,-0.9
213,Jerian Grant,2015-16,23,NYK,NBA,0.8,-0.2,-2.8,11.2,-3.1
214,Jerryd Bayless,2015-16,27,MIL,NBA,2.4,1.8,0.2,12.4,-0.8
215,Jimmer Fredette,2015-16,26,TOT,NBA,0,0,-2.3,12,-2.6
216,Jimmy Butler,2015-16,26,CHI,NBA,9.1,6.5,3.2,21.3,4.4
217,Joakim Noah,2015-16,30,CHI,NBA,1.1,0,-1.5,14.1,1.6
218,Jodie Meeks,2015-16,28,DET,NBA,0.1,0.1,-0.2,13.5,-2.9
219,Joe Harris,2015-16,24,CLE,NBA,0,0,-5,3.4,-5.9
220,Joe Ingles,2015-16,28,UTA,NBA,2.3,0.7,-1.4,10.3,0.2
221,Joe Johnson,2015-16,34,TOT,NBA,2.7,1.9,-0.6,12,-1.9
222,Joe Young,2015-16,23,IND,NBA,-0.1,-0.5,-3.9,9.9,-4.7
223,Joel Anthony,2015-16,33,DET,NBA,0.4,0.2,-2.9,14.1,0.4
224,Joffrey Lauvergne,2015-16,24,DEN,NBA,2.3,1.6,-0.3,15.7,-1.6
225,John Henson,2015-16,25,MIL,NBA,2.3,1.2,-1.2,18.6,0.2
226,John Jenkins,2015-16,24,TOT,NBA,0.2,0,-1.9,10,-2.9
227,John Wall,2015-16,25,WAS,NBA,5.7,2.2,3.1,19.8,3.5
228,Johnny O'Bryant,2015-16,22,MIL,NBA,0.3,-0.2,-4.2,7.4,-5.9
229,Jon Leuer,2015-16,26,PHO,NBA,2.7,1.4,0.1,16.2,0
230,Jonas Jerebko,2015-16,28,BOS,NBA,2.4,0.9,-2,10.3,-2
231,Jonas Valančiūnas,2015-16,23,TOR,NBA,6.9,4.5,2.1,22.6,1.7
232,Jonathon Simmons,2015-16,26,SAS,NBA,2,0.7,-3.1,11.9,-2.7
233,Jordan Adams,2015-16,21,MEM,NBA,0,0,-2.5,17.3,6.9
234,Jordan Clarkson,2015-16,23,LAL,NBA,2.1,1.7,-0.1,14.3,-1.6
235,Jordan Farmar,2015-16,29,MEM,NBA,0.4,0.2,-0.5,13.2,-0.7
236,Jordan Hamilton,2015-16,25,NOP,NBA,0.2,0,-1.6,12.4,-3.3
237,Jordan Hill,2015-16,28,IND,NBA,3.9,1.6,-0.7,16.4,-0.7
238,Jordan McRae,2015-16,24,TOT,NBA,0.4,0.2,0,14.2,-1.8
239,Jordan Mickey,2015-16,21,BOS,NBA,0.1,0,-2.6,15.3,-1.5
240,Jorge Gutiérrez,2015-16,27,CHO,NBA,0.3,0.2,-0.3,19.1,0.6
241,José Calderón,2015-16,34,NYK,NBA,4,2.7,-0.8,12.3,-0.6
242,Josh Huestis,2015-16,24,OKC,NBA,0,0,-2.2,6.7,-2.8
243,Josh McRoberts,2015-16,28,MIA,NBA,0.8,0.1,-2.6,9.9,-1.6
