RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
140,"Steve Nash, PG",LAL,15,20.9,1.58,-1.2,0.38,0.6
141,"Gerald Wallace, SF",BOS,58,24.4,-2.02,2.39,0.37,2.4
142,"Ryan Hollins, C",LAC,61,7.9,-3.62,3.91,0.29,0.8
143,"Zaza Pachulia, C",MIL,53,25,-1.45,1.71,0.26,2.1
144,"Wesley Matthews, SG",POR,82,33.9,1.26,-1.08,0.18,4.4
145,"Timofey Mozgov, C",DEN,82,21.6,-1.18,1.35,0.17,2.9
146,"Kenneth Faried, PF",DEN,80,27.2,1.34,-1.17,0.17,3.6
147,"Chris Kaman, C",LAL,39,18.9,-2.41,2.57,0.16,1.2
148,"Nate Robinson, PG",DEN,44,19.7,2,-1.89,0.11,1.3
149,"Jeremy Lin, PG",HOU,71,28.9,-0.19,0.28,0.09,3.2
150,"Ekpe Udoh, C",MIL,42,19.1,-2.77,2.83,0.06,1.2
151,"Nate Wolters, PG",MIL,58,22.6,-1.53,1.57,0.04,1.9
152,"Markieff Morris, PF",PHX,81,26.6,0.53,-0.55,-0.02,3.2
153,"Marvin Williams, PF",UTAH,66,25.4,-0.32,0.25,-0.07,2.3
154,"Darrell Arthur, PF",DEN,68,17.1,-2.47,2.4,-0.07,1.7
155,"Dion Waiters, SG",CLE,70,29.6,1.38,-1.45,-0.07,2.9
156,"A.J. Price, PG",MIN,28,3.5,0.03,-0.12,-0.09,0.1
157,"Brandon Davies, PF",PHI,51,11.3,-0.96,0.8,-0.16,0.8
158,"DeMar DeRozan, SG",TOR,79,38.2,0.45,-0.62,-0.17,3.9
159,"PJ Tucker, SF",PHX,81,30.7,-0.25,0.05,-0.2,3.4
160,"Andray Blatche, C",BKN,73,22.2,-0.63,0.42,-0.21,2.1
161,"Alec Burks, SG",UTAH,78,28.1,1.43,-1.68,-0.25,2.8
162,"Aron Baynes, C",SA,53,9.3,-1.56,1.3,-0.26,0.7
163,"James Jones, SG",MIA,20,11.8,-0.84,0.55,-0.29,0.3
164,"Courtney Lee, SG",BOS/MEM,79,25,0.51,-0.8,-0.29,2.4
165,"Marcus Morris, PF",PHX,82,22,0.49,-0.78,-0.29,2.3
166,"Ersan Ilyasova, PF",MIL,55,26.9,-0.25,-0.07,-0.32,1.8
167,"Jeff Ayres, PF",SA,73,13,-1.01,0.69,-0.32,1.2
168,"Andrew Bynum, C",CLE/IND,26,19.8,-2.89,2.55,-0.34,0.7
169,"Shelvin Mack, PG",ATL,73,20.4,0.86,-1.2,-0.34,1.8
170,"Jason Smith, PF",NO,31,26.8,-1.72,1.36,-0.36,1
171,"Evan Fournier, SF",DEN,76,19.8,-0.73,0.37,-0.36,2
172,"Samuel Dalembert, C",DAL,80,20.2,-3.48,3.1,-0.38,2
173,"Wilson Chandler, SF",DEN,62,31.1,-0.45,0.06,-0.39,2.5
174,"Jodie Meeks, SG",LAL,77,33.2,1.53,-1.94,-0.41,3.3
175,"Joel Anthony, PF",BOS/MIA,33,5.6,-2.34,1.85,-0.49,0.2
