"PLAYER_ID","PLAYER_NAME","bref_Player","espn_player","espn_id","lcname","bref_id","Season","Age","Tm","TEAM","G","GS","MP","Pos","GSpct","OPIPM","DPIPM","PIPM","Wins_Added","DRTG_On_Off","ORPM","DRPM","RPM","WAR","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","poss","raptor_box_o","raptor_box_d","raptor_box","raptor_onoff_o","raptor_onoff_d","raptor_onoff","raptor_o","raptor_d","raptor","war","war_RS","predator_o","predator_d","predator","pace_impact","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off"
"203461","Anthony Bennett","Anthony Bennett","Anthony Bennett",2991473,"anthony-bennett","bennean01","2013-14",20,"CLE","CLE",52,0,663,"PF",0,-2.244576095,-0.308490649,-2.553066743,-0.062773822,-1.996035552,"-3.31","-1.94","-5.25","-1.22",6.9,0.425,20.3,-1.1,0.7,-0.4,-0.028,-6,-1.3,-7.4,-0.9,1356,-5.317443259,-2.591238074,-7.908681333,-3.377629075,-0.991664925,-4.369294,-5.20069247,-2.382186811,-7.582879281,-1.647621533,-1.647621533,-4.53620375,-3.357955045,-7.894158795,0.753294646,-2.9,-1.57,-1.33,-2.11,-1.23,-0.88
"203076","Anthony Davis","Anthony Davis","Anthony Davis",6583,"anthony-davis","davisan02","2013-14",20,"NOP","NO",67,66,2358,"PF",0.985074626865672,1.628489667,1.078154289,2.706643956,8.107536674,0.09995466,"0.65","0.78","1.43","5.46",26.5,0.582,25.2,7.2,3.2,10.4,0.212,4,0.8,4.8,4,4610,1.144708154,2.539155108,3.683863261,1.203007794,0.424147483,1.627155277,1.210109966,2.284343543,3.49445351,7.517069392,7.517069392,1.657155606,2.274553174,3.93170878,0.059619409,2.92,0.75,2.17,1.72,0.34,1.38
"201627","Anthony Morrow","Anthony Morrow","Anthony Morrow",3474,"anthony-morrow","morroan01","2013-14",28,"NOP","NO",76,9,1426,"SG",0.118421052631579,0.434642653,-0.643630338,-0.208987685,2.141611918,2.228681002,"0.34","-1.81","-1.47","0.75",13.9,0.57,19.4,2.1,0.3,2.4,0.081,0.7,-1.6,-0.9,0.4,2777,1.528886342,-1.697402043,-0.168515701,0.085137208,2.264606754,2.349743962,1.319240593,-0.927710865,0.391529727,2.272416829,2.272416829,0.48297621,-1.644209077,-1.161232868,-0.553433409,-0.56,-0.48,-0.08,0.54,0.42,0.12
"201576","Anthony Randolph","Anthony Randolph","Anthony Randolph",3455,"anthony-randolph","randoan01","2013-14",24,"DEN","DEN",43,5,527,"PF",0.116279069767442,-1.906427691,1.203316526,-0.703111165,0.609004784,0.003333725,"-3.87","-1.02","-4.89","-0.88",12.2,0.499,19.8,-0.1,0.7,0.6,0.055,-2.3,1.5,-0.8,0.2,1123,-2.980320054,2.391215494,-0.58910456,-7.842260377,-0.457010324,-8.299270701,-4.159592372,1.972231644,-2.187360728,0.153598212,0.153598212,-3.632193467,1.350102418,-2.28209105,1.469889031,-2.35,-0.16,-2.19,-2.57,-0.69,-1.88
"201229","Anthony Tolliver","Anthony Tolliver","Anthony Tolliver",3276,"anthony-tolliver","tollian01","2013-14",28,"CHA","CHA",64,9,1298,"PF",0.140625,-0.003345779,-0.18542433,-0.188770109,1.968273368,0.014148034,"-0.12","2.21","2.09","3.54",11,0.605,12.4,1.9,1.3,3.2,0.117,0.1,-0.1,0,0.6,2594,0.337805653,-0.677168284,-0.339362631,0.986908279,1.403421797,2.390330076,0.525042543,-0.307971671,0.217070871,1.968035356,1.968035356,-0.483049602,-1.023554747,-1.506604348,0.152471453,0.6,1.04,-0.44,1.39,0.52,0.87
"203462","Archie Goodwin","Archie Goodwin","Archie Goodwin",2991281,"archie-goodwin","goodwar01","2013-14",19,"PHO","PHX",52,0,533,"SG",0,-2.984864039,-0.855291866,-3.840155905,-0.504387036,-2.80213395,"-3.71","-1.94","-5.65","-1.14",10.3,0.507,19.4,-0.3,0.5,0.2,0.018,-3.1,-0.1,-3.2,-0.2,1110,-2.625783345,0.519655094,-2.106128252,-5.813486464,-2.459349719,-8.272836183,-3.493451873,-0.081273211,-3.574725084,-0.225969086,-0.225969086,-3.688829222,-1.084180273,-4.773009495,0.725393426,-3.81,-1.08,-2.73,-2.78,-0.64,-2.13
"202620","Arinze Onuaku","Arinze Onuaku",NA,NA,NA,"onuakar01","2013-14",26,"TOT",NA,5,0,30,"PF",0,-0.01283392,-0.015300043,-0.028133963,0.049525148,-5.363413736,NA,NA,NA,NA,3.8,0.255,10.4,0,0,0,-0.044,-4,-1.2,-5.2,0,61,4.86570497195082,-6.20547034490164,-1.33976537295082,1.67805130655738,-6.78409096983607,-5.10603966327869,4.52300360936066,-6.65405264836066,-2.13104903918033,0.010759672,0.010759672,4.48730290260656,-7.4635407895082,-2.97623788672131,0.0317733743278688,-0.34,0.02,-0.36,-0.2,-0.35,0.15
"203102","Arnett Moultrie","Arnett Moultrie","Arnett Moultrie",6612,"arnett-moultrie","moultar01","2013-14",23,"PHI","PHI",12,2,187,"PF",0.166666666666667,-0.840013342,-0.045433608,-0.88544695,0.197844642,-5.741638949,"-1.94","-2.21","-4.15","-0.23",6.7,0.448,10.7,-0.1,0.1,0,0.007,-5.9,-1.4,-7.3,-0.3,405,-5.767521829,0.387692467,-5.379829362,-3.547147802,-5.554068744,-9.101216547,-5.594845535,-0.735668609,-6.330514145,-0.342154029,-0.342154029,-6.247091188,-1.666959707,-7.914050896,0.153439179,-0.23,-1.43,1.2,-1.04,-0.97,-0.07
"203382","Aron Baynes","Aron Baynes","Aron Baynes",2968439,"aron-baynes","baynear01","2013-14",27,"SAS","SA",53,4,491,"C",0.0754716981132075,-1.513592255,-1.586988948,-3.100581203,-0.202598711,-3.503421394,"-1.56","1.30","-0.26","0.65",9.7,0.467,19.2,-0.1,0.6,0.6,0.055,-4.7,-1,-5.7,-0.5,1006,-3.694010802,-2.604867144,-6.298877946,-0.725952106,-0.367986185,-1.09393829,-3.360667399,-2.378282507,-5.738949907,-0.75182402,-0.75182402,-3.83833123,-1.769307315,-5.607638546,0.392951093,-1.48,-0.88,-0.61,0.07,-0.04,0.1
"201167","Arron Afflalo","Arron Afflalo","Arron Afflalo",3187,"arron-afflalo","afflaar01","2013-14",28,"ORL","ORL",73,73,2552,"SG",1,0.100666977,-2.158781378,-2.058114402,0.595701032,-3.404998979,"-0.24","-2.95","-3.19","-1.30",16,0.574,23.3,4.3,1,5.3,0.099,1.4,-1.6,-0.2,1.1,5047,1.561280125,-2.637579091,-1.076298966,-0.864841142,-3.77773301,-4.642574153,1.22425804,-3.02318616,-1.79892812,1.231903915,1.231903915,0.411376476,-2.771831196,-2.360454719,-0.49730894,-2.71,-1.88,-0.83,-2.07,-1.15,-0.92
